Column1	Column2
0.0	0.0
4.905553294481674	4.807453294481673
8.779236721015653	8.505571790694649
12.017587487779211	11.499052477376955
14.818581641343942	13.990147566513594
17.29802927223024	16.097171704031574
19.530405872371016	17.89613592185721
21.566774565630602	19.439046857576265
23.443811746633187	20.763135876149526
25.188804179183958	21.89597863041068
26.822615786647184	22.858543196523996
28.361546204560835	23.667108250947035
29.818545601465463	24.33452616061943
31.204036471679178	24.871087659061185
32.52648556167861	25.28513485584032
33.792811719176655	25.583510455305834
35.00868335211238	25.77189780708501
36.17874049077797	25.855086653549268
37.30676513733982	25.83718706943473
38.39581641531076	25.72180591780874
39.448342158721175	25.512194518072857
40.46627496475338	25.211372331327933
41.451117849846774	24.822228965264532
42.40402232663962	24.347605500203517
43.32585998127155	23.79035582411249
44.217287531752966	23.153389016851584
45.07880485735136	22.43969446854533
45.9108054671117	21.652352033448626
46.71361912838324	20.79452991836927
47.48754672490694	19.86947312902325
48.23288773805257	18.880485185906352
48.949960986479304	17.830905548374112
49.63911940666443	16.7240848264016
50.300759721354794	15.563359471559401
50.93532784523782	14.352027260021055
51.543320836814054	13.093324532958128
52.12528613870108	11.790405854634015
52.68181876736849	10.446326490166076
53.213557026043354	9.06402789341118
53.72117722704079	7.646326228351672
54.20538782596022	6.19590382081415
54.666923292567155	4.715303346570364
55.10653797326851	3.2069245016613657
55.52500013865049	1.673022865897101
55.92308635678176	0.11571065585327522
56.30157628867348	-1.4630409353536915
